Concepts,Positive,Negative
weltschmerz,1,0
detachment,0,1
unrest,0,1
unfriendliness,0,1
unconcern,0,1
offence,0,1
tumult,0,1
turmoil,0,1
tranquillity,1,0
tranquility,1,0
quietness,0,1
quietude,0,2
thing,1,0
tenderheartedness,1,0
stir,0,1
stewing,0,1
solicitude,0,1
solicitousness,0,1
sinking,0,1
sinking_feeling,0,1
shamefacedness,0,1
sheepishness,0,1
shame,0,1
sensation,1,0
self-esteem,1,0
self-pride,1,0
self-disgust,0,1
self-hatred,0,1
self-depreciation,0,1
self-consciousness,1,0
uneasiness,0,1
uncomfortableness,0,1
security,1,0
scruple,0,1
qualm,0,1
misgiving,0,1
sanguinity,1,0
sanguineness,1,0
reverence,1,0
veneration,1,0
resignation,0,1
surrender,0,1
pridefulness,1,0
placidity,1,0
placidness,1,0
pessimism,0,1
pensiveness,0,1
brooding,0,1
peace,1,0
peacefulness,1,0
peace_of_mind,1,0
repose,0,1
serenity,1,0
heartsease,1,0
ataraxis,1,0
optimism,1,0
mercifulness,1,0
mercy,1,0
meekness,0,1
levity,1,0
languor,1,0
lassitude,1,0
listlessness,1,0
dreaminess,1,0
kind-heartedness,1,0
jolliness,1,0
jitteriness,0,1
jumpiness,0,1
nervousness,0,1
restiveness,0,1
isolation,0,1
insecurity,0,1
ingratitude,0,1
ungratefulness,0,1
indifference,0,1
impatience,0,1
designation,1,0
humility,1,0
humbleness,1,0
hopelessness,0,1
hopefulness,1,0
hope,1,0
gravity,0,1
solemnity,0,1
gratitude,1,0
gratefulness,1,0
thankfulness,1,0
appreciativeness,1,0
sombreness,0,1
playfulness,1,0
frisson,1,0
shiver,0,1
quiver,0,1
shudder,0,1
tingle,1,0
forgiveness,1,0
conniption,0,1
fidget,0,1
fidgetiness,0,1
restlessness,0,1
fever,0,1
fearlessness,0,1
bravery,1,0
expectation,1,0
euphory,1,0
encouragement,1,0
phlegm,0,1
embarrassment,0,1
electricity,0,1
lightness,1,0
egotism,0,1
self-importance,0,1
edginess,0,1
inquietude,0,1
disquietude,0,1
easiness,1,0
earnestness,1,0
seriousness,0,1
sincerity,1,0
dejectedness,0,1
lowness,0,1
trouble,0,1
distance,0,1
aloofness,0,1
dislike,0,1
disinclination,0,1
discouragement,0,1
disheartenment,0,1
discomfiture,0,1
discomposure,0,1
disconcertion,0,1
disconcertment,0,1
disapproval,0,1
despair,0,1
demoralisation,0,1
defeatism,0,1
daze,1,0
stupor,1,0
cynicism,0,1
coolness,1,0
imperturbability,1,0
imperturbableness,1,0
contempt,0,1
despite,0,1
conscience,1,0
confusion,0,1
discombobulation,0,1
confidence,1,0
care,1,0
compassion,1,0
compassionateness,1,0
commiseration,1,0
pity,0,1
ruth,0,1
pathos,0,1
chagrin,0,1
humiliation,0,1
mortification,0,1
calmness,1,0
buck_fever,0,1
blues,0,1
megrims,0,1
boot,0,1
apathy,0,1
anxiousness,0,1
disquiet,0,1
anxiety,0,1
antipathy,0,1
aversion,0,1
distaste,0,1
amour_propre,1,0
conceit,1,0
self-love,1,0
vanity,1,0
alienation,0,1
disaffection,0,1
estrangement,0,1
agitation,0,1
warmness,1,0
philia,1,0
abashment,0,1
bashfulness,0,1
angst,0,1
impatient,0,1
raring,1,0
self-conscious,0,1
self-deprecating,0,1
discredited,0,1
disgraced,0,1
dishonored,0,1
nail-biting,0,1
agitated,0,1
alienated,0,1
estranged,0,1
anomic,0,1
disoriented,0,1
miffed,0,1
pissed_off,0,1
steamed,0,1
nervous,0,1
uneasy,0,1
unquiet,0,1
worried,0,1
apathetic,0,1
affirmative,1,0
plausive,1,0
sanctioned,1,0
ruthful,1,0
good-hearted,1,0
openhearted,1,0
large-hearted,1,0
assuasive,1,0
soothing,1,0
calm,1,0
unagitated,1,0
serene,1,0
tranquil,1,0
abashed,0,1
chagrined,0,1
embarrassed,0,1
compassionate,1,0
self-complacent,1,0
concerned,0,1
convinced,1,0
positive,1,0
confident,1,0
confusing,0,1
broken,0,1
confused,0,1
disordered,0,1
upset,0,1
cold,0,1
cool,1,0
cynical,0,1
dazzling,1,0
eye-popping,1,0
fulgurant,1,0
fulgurous,1,0
defeated,0,1
disappointed,0,1
discomfited,0,1
foiled,0,1
